Season,Player,Chosen Fighter,Opponent,Odds,W_L,Fight Length,Result,Weight Class,Fight Location,M_F,Ref
Season 04,Scott,Max Holloway,Chan Sung Jung,-800,W, 623:00,Round 3 TKO,Featherweight,Main Card,M,M. Goddard
Season 04,Scott,Ciryl Gane,Serghei Spivac,-175,W, 524:00,Round 2 TKO,Heavyweight,Main Card,M,M. Goddard
Season 04,Scott,,,,L,,,,,,
Season 04,Taylan,Rinya Nakamura,Fernie Garcia,-800,W, 900:00,UD,Bantamweight,Main Card,M,K. Sataki
Season 04,Taylan,Ciryl Gane,Serghei Spivac,-175,W, 524:00,Round 2 TKO,Heavyweight,Main Card,M,M. Goddard
Season 04,Taylan,Israel Adesanya,Sean Strickland,-650,L, 1500:00,UD,Middleweight,Main Card,M,M. Goddard
Season 04,Ty,Max Holloway,Chan Sung Jung,-800,W, 623:00,Round 3 TKO,Featherweight,Main Card,M,M. Goddard
Season 04,Ty,Ciryl Gane,Serghei Spivac,-175,W, 524:00,Round 2 TKO,Heavyweight,Main Card,M,M. Goddard
Season 04,Ty,Israel Adesanya,Sean Strickland,-650,L, 1500:00,UD,Middleweight,Main Card,M,M. Goddard
Season 05,Aaron,Kelvin Gastelum,Sean Brady,100,L, 703:00,Round 3 Sub,Welterweight,Main Card,M,J. Montalvo
Season 05,Aaron,Johnny Walker,Magomed Ankalaev,400,L, 462:00,Round 2 TKO,Light Heavyweight,Main Card,M,M. Goddard
Season 05,Alex,Rodolfo Bellato,Ihor Potieria,-440,W, 557:00,Round 2 TKO,Light Heavyweight,Prelim,M,J. Montalvo
Season 05,Alex,Song Yadong,Chris Gutierrez,-375,W, 1500:00,UD,Bantamweight,Main Card,M,H. Dean
Season 05,Alex,Casey O'Neill,Ariane Lipski,-190,L, 378:00,Round 2 Sub,Flyweight (W),Prelim,F,M. Smith
Season 05,Chika,Joaquim Silva,Clay Guida,-320,W, 900:00,UD,Lightweight,Main Card,M,M. Smith
Season 05,Chika,Tatsuro Taira,Carlos Hernandez,-600,W, 355:00,Round 2 TKO,Flyweight,Prelim,M,M. Smith
Season 05,Chika,Brandon Royval,Alexandre Pantoja,160,L, 1500:00,UD,Flyweight,Main Card,M,M. Goddard
Season 05,Daniel,Rodolfo Bellato,Ihor Potieria,-440,W, 557:00,Round 2 TKO,Light Heavyweight,Prelim,M,J. Montalvo
Season 05,Daniel,Hyun Sung Park,Shannon Ross,-600,W, 539:00,Round 2 TKO,Flyweight,Prelim,M,C. Tognoni
Season 05,Daniel,Leon Edwards,Colby Covington,-160,W, 1500:00,UD,Welterweight,Main Card,M,H. Dean
